V1,V2,V3
1714,65.6,49
1792,53.8,30.4
2152,37.9,11.5
2052,30.3,5.3
1708,73.8,50.5
1971,56.1,12.5
2041,61,10.9
1924,73.9,61.9
1717,91.3,62.9
1759,77,41.4
1693,78.5,60.2
1650,74.5,60.4
1880,95.9,90.3
1667,115.6,66.6
2375,63.8,27.8
1978,71.9,46.3
1945,51.1,24
2167,44.5,9.9
1786,45.2,2.7
1742,56.2,18.8
1737,84.2,46.2
2068,78.8,65.2
1768,71.1,71.1
1710,93.8,50
2268,40,4
1942,83.3,65.8
1825,47.9,28.3
1583,115.5,63.7
2078,49.2,13.8
1744,81.6,45.9
1749,46.3,10.5
1856,48.9,11.1
1842,58.3,32.7
2042,64.4,16.1
1805,111.3,39.2
1668,70.8,52.1
2145,84.3,34.5
2015,67.3,27
1880,115,68
1888,70.2,58.2
1780,78,51.3
1868,100,100
